display_name,system_name,Description,value_data_type
Shade Material,ShadeMaterial_Bedside_Lamps,Shade Material,text
Shade Material,ShadeMaterial_Buffet_Lamps,Shade Material,text
Shade Material,ShadeMaterial_Desk_Lamps,Shade Material,text
Shade Material,ShadeMaterial_Floor_Lamps,Shade Material,text
Shade Material,ShadeMaterial_Table_Lamps,Shade Material,text
Size,Size_Electrical_Conduits,Size,numeric
Size,Size_Electrical_Tape,Size,numeric
Size,Size_Junction_Boxes,Size,numeric
Size,Size_Mounting_Hardware,Size,numeric
Size,Size_Wire_Connectors,Size,numeric
Smart Compatibility,SmartCompatibility_LED_Light_Bars,Smart Compatibility,boolean
Smart Compatibility,SmartCompatibility_LED_Panel_Lights,Smart Compatibility,boolean
Smart Compatibility,SmartCompatibility_LED_Strip_Lights,Smart Compatibility,boolean
Smart Compatibility,SmartCompatibility_RGB_LED_Strips,Smart Compatibility,boolean
Smart Compatibility,SmartCompatibility_Waterproof_LED_Strips,Smart Compatibility,boolean
Smart Control,SmartControl_Dimmer_Switches,Smart Control,text
Smart Control,SmartControl_Smart_Switches,Smart Control,text
Smart Features,SmartFeatures_Power_Outlets,Smart Features,text
Smart Features,SmartFeatures_USB_Outlets,Smart Features,text
Smart Features,SmartFeatures_Weatherproof_Outlets,Smart Features,text
Style/Design,Style/Design_Ceiling_Lights,Style/Design,list
Style/Design,Style/Design_Chandeliers,Style/Design,list
Style/Design,Style/Design_Flush_Mount_Lights,Style/Design,list
Style/Design,Style/Design_Pendant_Lights,Style/Design,list
Style/Design,Style/Design_Recessed_Lighting,Style/Design,list
Style/Design,Style/Design_Wall_Sconces,Style/Design,list
Surge Protection,SurgeProtection_Power_Outlets,Surge Protection,text
Surge Protection,SurgeProtection_USB_Outlets,Surge Protection,text
Switch Type,SwitchType_Arc_Lamps,Switch Type,text
Switch Type,SwitchType_Bedside_Lamps,Switch Type,text
Switch Type,SwitchType_Buffet_Lamps,Switch Type,text
Switch Type,SwitchType_Desk_Lamps,Switch Type,text
Switch Type,SwitchType_Dimmer_Switches,Switch Type,text
Switch Type,SwitchType_Floor_Lamps,Switch Type,text
Switch Type,SwitchType_Light_Switches,Switch Type,text
Switch Type,SwitchType_Motion_Sensor_Switches,Switch Type,text
Switch Type,SwitchType_Smart_Switches,Switch Type,text
Switch Type,SwitchType_Table_Lamps,Switch Type,text
Tamper-Resistance,Tamper-Resistance_GFCI_Outlets,Tamper-Resistance,text
Tamper-Resistance,Tamper-Resistance_Power_Outlets,Tamper-Resistance,text
Tamper-Resistance,Tamper-Resistance_USB_Outlets,Tamper-Resistance,text
Tamper-Resistance,Tamper-Resistance_Weatherproof_Outlets,Tamper-Resistance,text
Touch Sensitivity,TouchSensitivity_Dimmer_Switches,Touch Sensitivity,boolean
Touch Sensitivity,TouchSensitivity_Smart_Switches,Touch Sensitivity,boolean
Track Length,TrackLength_Flexible_Track_Lighting,Track Length,numeric
Track Length,TrackLength_Linear_Track_Lighting,Track Length,numeric
Track Length,TrackLength_Spotlight_Tracks,Track Length,numeric
Track Length,TrackLength_Track_Lighting,Track Length,numeric
Track Length,TrackLength_Track_Lighting_Systems,Track Length,numeric
Voltage,Voltage_Flexible_Track_Lighting,Voltage,numeric
Voltage,Voltage_Linear_Track_Lighting,Voltage,numeric
Voltage,Voltage_Spotlight_Tracks,Voltage,numeric
Voltage,Voltage_Track_Lighting,Voltage,numeric
Voltage,Voltage_Track_Lighting_Systems,Voltage,numeric
Voltage Rating,VoltageRating_Dimmer_Switches,Voltage Rating,numeric
